link,title
https://habr.com/ru/post/489622/,Сдруживаем Python и Bash: библиотеки smart-env и python-shell
https://habr.com/ru/post/489144/,Роботаракан Петя за десять баксов
https://habr.com/ru/post/489560/,Форма обратной связи в React Native при помощи AWS + Telegram
https://habr.com/ru/post/489576/,Нюансы современной медицины
https://habr.com/ru/post/489614/,Маркировка остатков обуви в 1С. Решение проблемы сканирования и выгрузки в «Честный знак»
https://habr.com/ru/post/482578/,Envoy. 1. Введение
https://habr.com/ru/post/489608/,Взаимодействие с NIDD через SCEF с использованием утилиты Postman. Краткий экскурс в SCEF и его возможности
https://habr.com/ru/company/maxilect/blog/489604/,"Как я, тимлид, оцениваю проекты"
https://habr.com/ru/post/489594/,Framework vs Platform: в чём разница?
https://habr.com/ru/company/digital-ecosystems/blog/489596/,Дайджест интересных материалов для мобильного разработчика #334 (17 — 23 февраля)
https://habr.com/ru/post/489590/,Что делать если программисту постоянно нечего делать?
https://habr.com/ru/post/488578/,Красно-чёрные деревья на javascript
https://habr.com/ru/post/489588/,"Hack The Box — прохождение Zetta. FXP, IPv6, rsync, Postgres и SQLi"
https://habr.com/ru/post/489586/,Визуализация звука на старинных лампах
https://habr.com/ru/post/489582/,В поисках «Годзиллы». Нейросети и прогнозирование котировок на основе биржевых и «внешних» данных
https://habr.com/ru/company/ua-hosting/blog/489568/,Конференция DEFCON 27. Изготовление дубликатов механических ключей с ограниченным доступом. Часть 1
https://habr.com/ru/post/489528/,Вы не смотрите рекламу во время разработки? Непорядок
https://habr.com/ru/company/pult/blog/489558/,"О Samsung обновившем TV-флагман: Q950 — изменения, косяки, а также прогнозы для нового устройства"
https://habr.com/ru/post/489552/,Диагностируем проблемы в микросервисной архитектуре на Node.js с помощью OpenTracing и Jaeger
https://habr.com/ru/post/489550/,7 трюков с Rest и Spread операторами при работе c JS объектами
https://habr.com/ru/post/489548/,"Примерно 20 строк, примерно такие же результаты: wc на Elixir"
https://habr.com/ru/post/489122/,Типизированные запросы OData в TypeScript
https://habr.com/ru/post/489166/,О работе ПК на примере Windows 10 и клавиатуры ч.2
https://habr.com/ru/post/489544/,Ресайз изображений на лету с помощью Nginx и LuaJIT (OpenResty)
https://habr.com/ru/post/489542/,Nano или минималистичный IDE
https://habr.com/ru/post/489540/,Отладка микроконтроллеров ARM Cortex-M по UART Часть 2
https://habr.com/ru/post/489538/,Почему разработчикам не нравится Agile?
https://habr.com/ru/post/489536/,Особенности систем электроснабжения с применением ДДИБП
https://habr.com/ru/company/jugru/blog/489532/,Что нового в Android 11 для пользователей и разработчиков
https://habr.com/ru/post/489530/,Что делает реактивную систему хорошей?
https://habr.com/ru/company/JetBrains-education/blog/489408/,Магистерская программа JetBrains на базе Университете ИТМО: интервью со студентами
https://habr.com/ru/company/iticapital/blog/489518/,В США появится лоукост-биржа Members Exchange
https://habr.com/ru/post/489516/,Дружим React Native и Fastlane
https://habr.com/ru/post/489504/,Как начать создавать карту в UE4
https://habr.com/ru/post/489490/,Крестики-нолики (PixiJS)
https://habr.com/ru/post/489482/,"Что нужно знать, если вы хотите вызывать Go функции из ассемблера"
https://habr.com/ru/post/489510/,Попытка решить проблему выбора авиабилетов перед отпуском #2
https://habr.com/ru/post/489512/,"Flutter. BlOC, Provider, async – архитектура «по полочкам»"
https://habr.com/ru/post/489492/,Яндекс.Диск запретил использование open source утилиты rclone
https://habr.com/ru/post/489500/,Оценка задач в Story Points
https://habr.com/ru/company/ua-hosting/blog/489332/,Неотъемлемые помощники в деле разведки наиболее эффективной в мире спецслужбы (часть 3)
https://habr.com/ru/company/englishdom/blog/489464/,«I’ll be back!»: как изменился английский Арнольда Шварценеггера за 50 лет в США
https://habr.com/ru/post/489486/,Применяем Data Science в мирных целях покупки дома
